Intel Core i9-14900K;3,2
Intel Core i9-14900KF;3,2
Intel Core i9-13900KS;3,2
Intel Core i9-13900K;3
Intel Core i9-13900KF;3
AMD Ryzen 9 7950X3D;4,2
Intel Core i7-14700K;3,4
Intel Core i7-14700KF;3,4
AMD Ryzen 9 7950X;4,5
Intel Core i9-13900;2
Intel Core i9-13900F;2
AMD Ryzen TR 3970X;4,1
Intel Core i7-13700K;3,4
Intel Core i7-13700KF;3,4
AMD Ryzen TR 3990X;2,9
AMD Ryzen 9 7900X3D;4,4
Intel Core i9-13980HX;2,2
AMD Ryzen 9 7900X;4,7
Intel Core i9-13950HX;2,2
Intel Core i7-13700;2,1
Intel Core i7-13700F;2,1
Intel Core i5-14600K;3,5
Intel Core i9-13900HX;2,2
Intel Core i9-12900KS;3,4
Intel Core i5-14600KF;3,5
AMD Ryzen 9 7900;4,3
Intel Core i9-12900K;3,2
Intel Core i9-12900KF;3,2
Intel Core i5-13600K;3,5
Intel Core i5-13600KF;3,5
AMD Ryzen TR 3960X;3,8
Intel Core i9-12900F;2,4
AMD Ryzen 7 7800X3D;4,4
AMD Ryzen 7 7700X;4,5
Intel Core i9-12900;2,4
